Name,ID,Sport,Wins,Losses,Played Professionally,Injury Prone,Popularity
John,1,Badminton,10,7,0,1,10
James,2,Badminton,14,16,0,1,1
Paul,3,Badminton,20,13,0,0,10
Robert,4,Badminton,3,14,1,1,5
Carl,5,Badminton,19,13,1,1,0
Edward,6,Badminton,1,2,0,1,0
George,7,Badminton,13,7,1,1,7
William,8,Badminton,0,12,0,0,4
Peter,9,Badminton,8,12,1,0,8
Charles,10,Badminton,10,5,0,1,10
Nick,11,Badminton,12,12,1,0,2
Frank,12,Badminton,17,20,1,0,4
Richard,13,Badminton,6,0,1,0,2
Joseph,14,Badminton,16,20,0,1,6
Henry,15,Badminton,19,16,0,0,6
David,16,Badminton,18,16,1,0,0
Arthur,17,Badminton,9,20,0,1,4
Albert,18,Badminton,18,16,1,0,3
Jack,19,Badminton,17,2,1,0,10
Walter,20,Badminton,18,3,1,0,6
Andrew,21,Badminton,2,4,1,0,10
Daniel,22,Badminton,15,1,0,0,0
Harry,23,Badminton,10,19,1,1,5
Fred,24,Badminton,16,19,1,1,2
Frederick,25,Badminton,5,19,0,0,3
Roy,26,Badminton,14,8,0,1,8
Billy,27,Badminton,7,14,1,1,5
Ernest,28,Badminton,5,1,1,0,3
Ralph,29,Squash,19,20,1,1,8
Thomas,30,Squash,13,0,0,0,9
Donald,31,Squash,13,10,0,1,4
Jacob,32,Squash,15,16,0,1,0
Mike,33,Squash,11,10,0,1,7
Alfred,34,Squash,1,16,1,0,1
Joe,35,Squash,15,10,1,1,9
Simon,36,Squash,12,6,0,0,1
Louis,37,Squash,18,13,1,1,7
Eugene,38,Squash,5,20,1,0,10
Harold,39,Squash,19,20,1,1,9
Lawrence,40,Squash,3,20,0,1,1
Patrick,41,Squash,14,6,1,0,6
Kenneth,42,Squash,18,3,0,0,8
Leonard,43,Squash,11,10,0,1,8
Phillip,44,Squash,13,1,0,0,1
Raymond,45,Squash,17,5,1,1,3
Samuel,46,Squash,4,2,1,1,4
Tom,47,Squash,5,10,0,0,4
Willie,48,Squash,11,16,1,1,1
Warren,49,Squash,3,7,0,0,0
Alex,50,Squash,3,4,1,0,0
Evan,51,Squash,8,0,0,0,7
Sam,52,Squash,15,20,1,1,4
Charlie,53,Squash,10,20,1,0,4
Bernard,54,Squash,16,8,1,1,6
Gregory,55,Squash,4,18,0,0,6
Johnny,56,Squash,0,11,1,1,0
Norman,57,Table Tennis,20,5,0,1,8
Clarence,58,Table Tennis,10,10,0,1,10
Herman,59,Table Tennis,0,0,1,1,5
Michael,60,Table Tennis,19,14,1,1,0
Gerald,61,Table Tennis,18,8,1,1,4
Johnnie,62,Table Tennis,2,18,0,1,1
Herbert,63,Table Tennis,2,17,1,1,4
Victor,64,Table Tennis,16,14,0,0,1
Bill,65,Table Tennis,10,18,0,0,7
Jerry,66,Table Tennis,7,2,0,0,10
Gary,67,Table Tennis,15,10,0,0,0
Simeon,68,Table Tennis,4,16,1,0,10
Benjamin,69,Table Tennis,20,3,1,0,10
Gilbert,70,Table Tennis,12,19,1,1,5
Fredrick,71,Table Tennis,0,20,0,0,1
Larry,72,Table Tennis,13,8,0,0,8
Stanley,73,Table Tennis,1,7,0,0,4
Allen,74,Table Tennis,11,4,0,0,2
Dennis,75,Table Tennis,4,9,1,1,6
Howard,76,Table Tennis,15,9,0,0,0
Ronald,77,Table Tennis,18,9,0,0,5
Ray,78,Table Tennis,20,20,0,0,3
Alexie,79,Table Tennis,13,14,1,0,2
Tommy,80,Table Tennis,1,2,0,0,6
Arnold,81,Table Tennis,0,10,1,1,9
Martin,82,Table Tennis,9,12,0,1,5
Philip,83,Table Tennis,0,15,1,1,2
Franklin,84,Table Tennis,13,18,1,0,9
Gabriel,85,Tennis,2,18,1,0,0
Glenn,86,Tennis,6,18,1,0,2
Jim,87,Tennis,17,17,0,1,10
Moses,88,Tennis,12,8,0,0,3
Steven,89,Tennis,20,15,0,0,0
Clifford,90,Tennis,16,2,1,1,5
Nicholas,91,Tennis,15,15,1,0,6
Roger,92,Tennis,14,13,1,1,1
Jimmy,93,Tennis,17,18,0,0,5
Melvin,94,Tennis,18,1,1,1,2
Douglas,95,Tennis,0,1,0,0,10
Alvin,96,Tennis,14,12,0,0,6
Chris,97,Tennis,1,20,0,0,6
Francis,98,Tennis,1,1,0,0,9
Bob,99,Tennis,19,11,1,1,9
Wayne,100,Tennis,19,5,1,0,8
Bruce,101,Tennis,5,5,0,0,0
Eric,102,Tennis,12,9,1,0,1
Isaac,103,Tennis,12,0,0,1,5
Mark,104,Tennis,5,10,1,1,4
Steve,105,Tennis,14,4,0,0,7
Earl,106,Tennis,7,11,1,1,1
Leslie,107,Tennis,17,19,0,0,10
Terry,108,Tennis,5,15,0,1,10
Timothy,109,Tennis,16,13,1,1,8
Stephen,110,Tennis,5,7,0,0,6
Marvin,111,Tennis,11,17,0,0,8
Rodney,112,Tennis,5,7,0,1,2
